18 126
3 6 792005835
1 17 233529074
4 5 143260140
9 13 960468016
2 16 700990600
7 16 996947256
2 13 477632186
8 10 884756214
2 14 496377874
6 12 865861718
1 14 9688249
2 4 736775690
15 18 826063065
2 18 203997834
6 13 920338491
17 18 250168412
16 18 659132976
5 13 568209557
3 7 940257717
11 12 785939358
5 12 218089937
1 3 209301051
8 17 924533314
1 13 616660169
5 9 723899480
3 12 694954183
11 17 529881119
1 12 395125399
1 6 159158723
8 12 205314948
3 4 811547440
6 7 548790278
4 15 244071929
7 12 718832709
4 10 559596410
4 17 813299931
7 15 668492607
9 11 418845150
1 16 375300519
6 15 311623708
5 18 828500164
13 14 454345384
7 10 721196421
1 4 370048661
5 8 528257303
14 16 754813697
7 9 29490823
9 16 36185429
6 8 423481003
8 15 951890378
6 17 796630594
7 13 141801518
12 13 382605914
13 15 883461351
1 9 480347889
6 11 807972408
2 6 814168543
9 10 420704706
15 16 568239090
6 9 151901774
8 14 895372378
1 18 510992841
3 14 752882759
9 18 205943183
2 9 344504528
8 9 245930732
5 16 632563478
9 15 918539230
2 3 441104553
1 2 370055199
5 7 904956970
11 16 708474467
11 13 420603952
13 18 567579102
6 14 311215727
14 15 15525384
2 15 759826199
5 15 388297380
12 17 911191673
6 16 156209661
4 6 120284400
4 12 137781619
3 13 893927166
11 15 812756021
10 11 697743797
10 13 170105423
2 8 845912407
3 5 106236391
10 18 975624256
3 16 280562370
3 15 991168516
10 12 107415565
11 18 974656212
5 11 122612826
7 11 665424677
8 16 673332712
4 18 102733202
13 16 534602535
14 18 316434689
2 5 622355322
1 7 450983685
6 18 893156414
1 10 969213059
2 12 703263242
4 13 424694935
3 10 432676408
2 10 496603576
3 11 267707044
12 16 635454745
3 9 778002355
8 13 916223058
3 18 97148567
7 14 158584639
8 11 692990928
8 18 219918376
3 8 477801461
9 17 591467554
15 17 993064627
4 7 106353076
5 17 498540054
7 8 604475836
4 14 969088519
14 17 288989331
12 18 647489045
16 17 79299439
12 15 25361783
